"Timestamp","I envision the business receiving high-profile endorsements in the future.","I envision this business receiving favourable press coverage in the future.","I envision this business having a top management team that will benefit the organisation.","In general, this company will create value for its stakeholders. ","The policies of this company will cater to the interests of its stakeholders. ","I believe the activities of this company will benefit their immediate stakeholders","I had no difficulty imagining myself in the scenario (as a funder) presented earlier.","This question serves as an indicator for whether you actually take your time and carefully read the instructions. Please select the second from right option (4).","When jobs are scarce, men should have more of a right to a job than women. ","If a woman earns more money than her husband, it's almost certain to cause problems.","Women have the same rights as men.","On the whole, men make better political leaders than women do.","A university education is more important for a boy than for a girl.","When a mother works for pay, the children suffer.","Having a job is the best way for a woman to be an independent person.","On the whole, men make better business executives than women do.","It is usually better for everyone if the man is the achiever outside the home and the woman takes care of the home and family. ","Men should be given first chance at most jobs because they have the primary responsibility for providing for a family.","It is more important for a husband to commit his time to his work rather than helping his wife at home.","Young women should be encouraged to take jobs that are usually filled by men (engineering, management, etc.). ","If both husband and wife work, the husband should help out just as much as the women with the housework and childcare.","I have good knowledge of investing.","Equity-based crowdfunding is a funding practice I was already familiar with.","I am familiar with the industry the project is planning on operating in.","The product or the service of the previously shown project is targeted at customers of a specific sex.","I have participated in an equity-based crowdfunding project as a funder before.","What is your gender?","What is your age (in years)? ","What is your nationality?","What is your employment status?","What is your total household income per month, that means the sum of all net incomes of the people living in your household?","Have you owned a business in the past or do you currently own a business?","What is the highest degree or level of school you have completed?","What is your ethnical background?"
"2021/06/21 4:51:27 pm GMT+7","4","2","3","4","5","3","4","4","Disagree","Neither","8","Strongly agree","Strongly disagree","Disagree","Agree","Agree","4","1","3","3","4","3","4","4","3","No","Female","24","Russia","Employed part-time","501-1000 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Other"
"2021/06/21 5:19:37 pm GMT+7","4","4","3","4","4","3","4","4","Disagree","Don't know","10","Don't know","Strongly disagree","Disagree","Agree","Disagree","2","2","3","5","4","3","3","4","4","No","Male","24","Turkey","Student","501-1000 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Other"
"2021/06/21 5:37:22 pm GMT+7","4","4","3","4","4","2","4","4","Neither","Disagree","10","Disagree","Disagree","Disagree","Disagree","Disagree","2","2","2","3","4","3","2","3","3","No","Male","27","Germany","Self-employed","> 3500 €","Yes","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/06/21 5:43:46 pm GMT+7","4","4","4","3","4","4","3","4","Neither","Disagree","10","Disagree","Disagree","Disagree","Don't know","Disagree","3","2","3","3","4","4","4","4","3","Yes","Female","27","Vietnam","Self-employed","2501-3000 €","Yes","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/06/21 6:49:08 pm GMT+7","4","2","4","4","4","3","4","5","Disagree","Agree","10","Strongly disagree","Strongly disagree","Disagree","Strongly agree","Strongly disagree","2","2","2","5","5","1","1","3","3","No","Female","33","South Africa","Employment full-time","1501-2000 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
"2021/06/21 7:01:01 pm GMT+7","4","5","3","4","2","4","3","4","Disagree","Disagree","8","Disagree","Strongly disagree","Agree","Disagree","Agree","3","2","2","3","5","3","2","1","3","No","Male","21","Russia","Self-employed","2001-2500 €","Yes","High school degree or equivalent","Caucasian"
"2021/06/21 8:06:41 pm GMT+7","3","4","4","4","3","3","3","4","Disagree","Disagree","10","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Disagree","1","1","1","4","5","2","2","2","3","No","Female","24","Vietnam","Employment full-time","1501-2000 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/06/21 8:11:37 pm GMT+7","4","4","5","4","4","3","3","4","Disagree","Agree","9","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","2","1","1","3","5","4","1","2","3","No","Female","26","Vietnam","Employment full-time","501-1000 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/06/21 8:25:07 pm GMT+7","2","3","2","2","3","3","4","4","Disagree","Disagree","10","Disagree","Disagree","Disagree","Don't know","Disagree","2","2","3","4","4","4","4","4","3","No","Male","28","Germany","Employment full-time","> 3500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Caucasian"
"2021/06/21 10:16:19 pm GMT+7","3","4","2","5","5","4","2","4","Disagree","Disagree","10","Disagree","Strongly disagree","Don't know","Strongly agree","Strongly disagree","3","2","1","3","5","3","2","3","3","No","Male","25","India","Student","1001-1500 €","Yes","Bachelor's degree (e.g. B. Arts, B. Sc.)","Other"
"2021/06/21 11:10:00 pm GMT+7","2","3","3","4","2","4","2","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Agree","Agree","Strongly disagree","1","2","1","5","5","2","1","2","3","No","Female","28","Germany","Employed part-time","3001-3500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Asian / Pacific Islander"
"2021/06/22 4:15:28 am GMT+7","3","3","2","3","5","3","2","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Agree","Disagree","Strongly disagree","1","1","1","5","5","3","3","3","3","Yes","Female","29","New Zealand","Self-employed","3001-3500 €","No","High school degree or equivalent","Asian / Pacific Islander"
"2021/06/22 10:59:09 am GMT+7","3","4","4","4","3","3","3","4","Disagree","Agree","10","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","1","1","1","5","5","1","1","1","3","No","Female","23","South Africa","Employment full-time","1501-2000 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
"2021/06/22 11:18:36 am GMT+7","4","3","3","4","3","3","2","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Disagree","Agree","Strongly disagree","1","1","1","5","5","2","4","2","3","No","Female","28","South Africa","Employment full-time","1501-2000 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
"2021/06/22 1:39:24 pm GMT+7","3","5","5","3","1","3","3","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","1","1","3","5","5","5","4","1","3","No","Male","31","Germany","Self-employed","2501-3000 €","Yes","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/06/22 2:01:38 pm GMT+7","4","3","3","4","3","3","2","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Disagree","Agree","Strongly disagree","1","1","1","5","5","2","4","2","3","No","Female","28","South Africa","Employment full-time","1501-2000 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
