"Timestamp","I envision the business receiving high-profile endorsements in the future.","I envision this business receiving favourable press coverage in the future.","I envision this business having a top management team that will benefit the organisation.","In general, this company will create value for its stakeholders. ","The policies of this company will cater to the interests of its stakeholders. ","I believe the activities of this company will benefit their immediate stakeholders","I had no difficulty imagining myself in the scenario (as a funder) presented earlier.","This question serves as an indicator for whether you actually take your time and carefully read the instructions. Please select the second from right option (4).","When jobs are scarce, men should have more of a right to a job than women. ","If a woman earns more money than her husband, it's almost certain to cause problems.","Women have the same rights as men.","On the whole, men make better political leaders than women do.","A university education is more important for a boy than for a girl.","When a mother works for pay, the children suffer.","Having a job is the best way for a woman to be an independent person.","On the whole, men make better business executives than women do.","It is usually better for everyone if the man is the achiever outside the home and the woman takes care of the home and family. ","Men should be given first chance at most jobs because they have the primary responsibility for providing for a family.","It is more important for a husband to commit his time to his work rather than helping his wife at home.","Young women should be encouraged to take jobs that are usually filled by men (engineering, management, etc.). ","If both husband and wife work, the husband should help out just as much as the women with the housework and childcare.","I have good knowledge of investing.","Equity-based crowdfunding is a funding practice I was already familiar with.","I am familiar with the industry the project is planning on operating in.","The product or the service of the previously shown project is targeted at customers of a specific sex.","I have participated in an equity-based crowdfunding project as a funder before.","What is your gender?","What is your age (in years)? ","What is your nationality?","What is your employment status?","What is your total household income per month, that means the sum of all net incomes of the people living in your household?","Have you owned a business in the past or do you currently own a business?","What is the highest degree or level of school you have completed?","What is your ethnical background?"
"2021/06/21 5:20:26 pm GMT+7","4","3","4","5","4","3","5","4","Disagree","Disagree","9","Disagree","Strongly disagree","Agree","Agree","Disagree","4","3","5","5","5","5","5","5","4","Yes","Other","24","Germany","Employed part-time","2001-2500 €","Yes","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/06/21 5:29:39 pm GMT+7","2","3","4","3","2","2","4","5","Disagree","Disagree","10","Disagree","Disagree","Agree","Disagree","Disagree","3","2","2","4","5","2","4","1","3","No","Male","26","Greece","Employment full-time","3001-3500 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Other"
"2021/06/21 5:53:30 pm GMT+7","4","4","5","4","4","4","5","4","Disagree","Disagree","10","Disagree","Strongly disagree","Disagree","Strongly agree","Disagree","2","1","1","5","5","2","4","3","3","Yes","Female","27","Germany","Employment full-time","> 3500 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/06/21 8:18:09 pm GMT+7","4","3","4","3","3","4","3","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Disagree","Strongly agree","Strongly disagree","1","1","1","5","5","2","2","2","4","No","Female","26","Germany","Employment full-time","> 3500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Caucasian"
"2021/06/21 8:37:25 pm GMT+7","4","4","5","4","4","4","3","3","Neither","Don't know","6","Agree","Disagree","Don't know","Don't know","Disagree","5","5","5","4","5","3","3","3","5","No","Male","40","Vietnam","Employment full-time","1001-1500 €","Yes","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/06/21 10:34:39 pm GMT+7","3","4","4","3","3","3","3","4","Disagree","Disagree","10","Disagree","Disagree","Strongly disagree","Disagree","Strongly disagree","1","1","1","5","5","3","4","2","3","No","Female","31","United Kingdom","Self-employed","> 3500 €","Yes","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
"2021/06/21 11:11:24 pm GMT+7","3","3","3","3","3","3","3","3","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Disagree","Strongly agree","Strongly disagree","1","1","2","5","5","1","1","1","3","No","Female","27","Germany","Employment full-time","> 3500 €","No","Doctorate (e.g. PHD) or higher","Asian / Pacific Islander"
"2021/06/21 11:33:49 pm GMT+7","4","4","4","3","3","3","3","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Disagree","Strongly agree","Strongly disagree","2","1","2","5","5","5","5","3","3","No","Female","30","South Africa","Employment full-time","> 3500 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
"2021/06/22 11:54:08 am GMT+7","4","4","4","4","4","4","4","4","Disagree","Neither","10","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","1","1","1","5","5","2","3","1","3","No","Male","31","South Africa","Employment full-time","1501-2000 €","No","High school degree or equivalent","Caucasian"
"2021/06/22 2:52:08 pm GMT+7","4","4","3","4","4","2","2","4","Disagree","Disagree","10","Strongly disagree","Disagree","Disagree","Strongly agree","Disagree","2","1","1","4","5","3","3","1","3","No","Female","31","Germany","Self-employed","501-1000 €","Yes","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
"2021/06/22 6:59:40 pm GMT+7","3","4","2","4","4","4","4","4","Disagree","Neither","4","Disagree","Don't know","Don't know","Disagree","Don't know","3","2","3","2","4","3","4","3","2","No","Male","25","Japan","Employment full-time","1001-1500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Asian / Pacific Islander"
"2021/06/25 1:45:04 am GMT+7","4","3","3","5","3","4","2","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Disagree","1","1","1","3","4","4","2","1","3","No","Male","27","Germany","Student","1001-1500 €","Yes","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
"2021/06/25 10:57:38 pm GMT+7","3","4","3","4","4","3","4","2","Disagree","Neither","10","Disagree","Strongly disagree","Disagree","Agree","Don't know","3","2","2","4","3","3","2","2","3","No","Male","30","Taiwan","Student","1001-1500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Asian / Pacific Islander"
"2021/06/26 3:21:20 am GMT+7","2","3","3","2","2","2","2","4","Neither","Disagree","10","Disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","2","4","3","3","5","4","3","2","3","No","Male","37","Taiwan","Employment full-time","2501-3000 €","No","Doctorate (e.g. PHD) or higher","Asian / Pacific Islander"
"2021/06/26 4:39:43 pm GMT+7","3","4","3","3","3","3","3","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","1","1","1","5","5","4","2","5","3","No","Female","22","Hong Kong","Employment full-time","> 3500 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/06/28 1:02:45 am GMT+7","5","4","3","5","4","4","5","5","Disagree","Disagree","10","Agree","Strongly disagree","Disagree","Strongly agree","Disagree","4","1","2","4","5","3","4","4","2","No","Female","2е","Russia","Student","501-1000 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Other"
"2021/06/29 2:53:44 am GMT+7","4","4","3","4","5","5","3","5","Disagree","Agree","9","Agree","Strongly disagree","Agree","Agree","Disagree","1","1","2","4","5","3","3","3","3","No","Female","24","Russia","Employment full-time","501-1000 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Other"
"2021/06/29 6:57:26 pm GMT+7","3","3","4","3","4","3","2","4","Disagree","Disagree","4","Disagree","Strongly disagree","Strongly disagree","Agree","Disagree","1","1","1","3","5","1","2","5","3","No","Female","24","France","Unemployed - Currently looking for work","2001-2500 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Other"
"2021/07/02 4:06:18 pm GMT+7","4","2","4","4","4","4","3","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Disagree","Agree","Disagree","2","1","2","5","5","3","4","3","3","No","Male","27","Romania","Employment full-time","2001-2500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Other"
"2021/07/02 5:49:10 pm GMT+7","4","2","4","4","4","4","3","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Disagree","Agree","Disagree","2","1","2","5","5","3","4","3","3","No","Male","27","Romania","Employment full-time","2001-2500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Other"
"2021/07/02 8:20:03 pm GMT+7","5","5","5","4","4","4","5","4","Neither","Neither","9","Disagree","Disagree","Disagree","Don't know","Disagree","3","3","2","5","3","2","2","4","3","No","Male","28","South Africa","Employment full-time","1501-2000 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
"2021/07/02 10:20:23 pm GMT+7","4","2","4","4","4","4","3","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Disagree","Agree","Disagree","2","1","2","5","5","3","4","3","3","No","Male","27","Romania","Employment full-time","2001-2500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Other"
"2021/07/03 12:29:39 pm GMT+7","5","5","5","5","5","5","4","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","1","1","3","5","5","3","2","2","3","No","Female","1991","Korea, South","Employment full-time","3001-3500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Asian / Pacific Islander"
"2021/07/03 12:36:09 pm GMT+7","4","4","5","4","4","5","3","4","Disagree","Disagree","10","Disagree","Disagree","Disagree","Strongly agree","Disagree","2","2","1","5","5","3","3","2","3","No","Male","32","United Kingdom","Employment full-time","3001-3500 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
"2021/07/03 7:27:09 pm GMT+7","4","4","3","3","3","4","3","4","Disagree","Neither","10","Don't know","Disagree","Disagree","Agree","Disagree","3","1","2","5","4","5","5","3","3","Yes","Male","25","Latvia","Employment full-time","> 3500 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
"2021/07/04 2:14:32 pm GMT+7","4","4","4","4","4","3","5","5","Disagree","Disagree","10","Agree","Disagree","Disagree","Strongly agree","Disagree","3","3","3","2","4","2","1","2","2","No","Male","30","Vietnam","Self-employed","1001-1500 €","Yes","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/07/06 2:51:35 pm GMT+7","4","3","4","5","4","4","5","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Disagree","Disagree","Disagree","4","1","1","4","5","4","5","2","2","No","Female","26","Germany","Employment full-time","> 3500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Asian / Pacific Islander"
"2021/07/06 3:13:07 pm GMT+7","4","4","3","4","4","4","3","4","Disagree","Agree","10","Disagree","Disagree","Don't know","Agree","Disagree","2","2","2","3","5","4","3","3","3","No","Female","26","Russia","Student","> 3500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Other"
"2021/07/06 3:27:25 pm GMT+7","4","3","4","3","3","3","3","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Disagree","Strongly agree","Strongly disagree","2","1","1","5","5","1","1","2","3","No","Female","28","Germany","Student","501-1000 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Other"
"2021/07/06 4:35:57 pm GMT+7","5","5","4","4","3","3","3","4","Disagree","Disagree","10","Disagree","Strongly disagree","Disagree","Agree","Strongly disagree","2","2","3","3","5","3","3","4","3","No","Female","1996","Vietnam","Employment full-time","2501-3000 €","Yes","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
